,Bina novu,mekan,mertebe,otaq sayi,qiymet,sahe,sened
166,Yeni Tikili,Yasamal r.,7.0,2,115000,83 ,Kupcasiz
167,Yeni Tikili,Nerimanov r.,7.0,3,159000,159 ,Kupcali
168,Kohne Tikili,Nesimi r.,3.0,2,79000,43 ,Kupcali
169,Kohne Tikili,Xetai r.,6.0,2,66000,50 ,Kupcali
170,Kohne Tikili,Yasamal r.,3.0,2,135000,55 ,Kupcali
171,Yeni Tikili,Xetai r.,15.0,3,175000,130 ,Kupcali
172,Yeni Tikili,Bineqedi r.,10.0,1,97000,58 ,Kupcali
173,Kohne Tikili,Xetai r.,5.0,4,84500,84500 ,Kupcali
174,Yeni Tikili,Xetai r.,3.0,3,280000,161 ,Kupcasiz
175,Kohne Tikili,Abseron r.,5.0,2,45000,62 ,Kupcali
176,Yeni Tikili,Yasamal r.,3.0,3,225000,135 ,Kupcali
177,Yeni Tikili,Bineqedi r.,5.0,1,69000,59 ,Kupcasiz
178,Kohne Tikili,Sabuncu r.,7.0,5,135000,110 ,Kupcali
179,Yeni Tikili,,,3,230000,162 ,Kupcali
180,Yeni Tikili,Xetai r.,10.0,2,70000,75 ,Kupcali
181,Yeni Tikili,,,4,325000,184 ,Kupcali
182,Yeni Tikili,Nerimanov r.,3.0,2,118000,84 ,Kupcali
183,Yeni Tikili,Nesimi r.,12.0,7,520000,350 ,Kupcali
184,Yeni Tikili,Nesimi r.,7.0,1,75000,53 ,Kupcali
185,Yeni Tikili,Yasamal r.,2.0,3,225000,135 ,Kupcali
186,Yeni Tikili,Xetai r.,15.0,3,280000,161 ,Kupcali
187,Kohne Tikili,Sabuncu r.,7.0,3,83000,80 ,Kupcali
188,Kohne Tikili,Sabuncu r.,4.0,3,112000,90 ,Kupcali
189,Kohne Tikili,Suraxani r.,6.0,2,63500,62 ,Kupcali
190,Kohne Tikili,Suraxani r.,6.0,5,98000,110 ,Kupcali
191,Kohne Tikili,Sabuncu r.,6.0,2,75000,65 ,Kupcali
192,Yeni Tikili,Xetai r.,4.0,3,204000,128 ,Kupcasiz
193,Yeni Tikili,Nizami r.,7.0,2,107700,70 ,Kupcali
194,Yeni Tikili,Nesimi r.,16.0,3,480000,135 ,Kupcali
195,Yeni Tikili,Bineqedi r.,7.0,3,220000,133 ,Kupcali
196,Yeni Tikili,Bineqedi r.,17.0,3,178000,102 ,Kupcali
197,Yeni Tikili,Abseron r.,3.0,1,35000,55 ,Kupcasiz
